wall_up,wall_down,wall_left,wall_right,meat_up,meat_right,meat_down,meat_left,distance_x,distance_y,direction
256,256,256,256,0,0,0,0,-101,-53,1
256,256,259,253,0,0,0,0,-98,-53,1
256,256,262,250,0,0,0,0,-95,-53,1
256,256,265,247,0,0,0,0,-92,-53,1
256,256,268,244,0,0,0,0,-89,-53,1
256,256,271,241,0,0,0,0,-86,-53,1
256,256,274,238,0,0,0,0,-83,-53,1
256,256,277,235,0,0,0,0,-80,-53,1
256,256,280,232,0,0,0,0,-77,-53,1
256,256,283,229,0,0,0,0,-74,-53,1
256,256,286,226,0,0,0,0,-71,-53,1
256,256,289,223,0,0,0,0,-68,-53,1
256,256,292,220,0,0,0,0,-65,-53,1
256,256,295,217,0,0,0,0,-62,-53,1
256,256,298,214,0,0,0,0,-59,-53,1
256,256,301,211,0,0,0,0,-56,-53,1
256,256,304,208,0,0,0,0,-53,-53,0
253,259,304,208,0,0,0,0,-53,-50,1
253,259,307,205,0,0,0,0,-50,-50,0
250,262,307,205,0,0,0,0,-50,-47,1
250,262,310,202,0,0,0,0,-47,-47,0
247,265,310,202,0,0,0,0,-47,-44,1
247,265,313,199,0,0,0,0,-44,-44,0
244,268,313,199,0,0,0,0,-44,-41,1
244,268,316,196,0,0,0,0,-41,-41,0
241,271,316,196,0,0,0,0,-41,-38,1
241,271,319,193,0,0,0,0,-38,-38,0
238,274,319,193,0,0,0,0,-38,-35,1
238,274,322,190,0,0,0,0,-35,-35,0
235,277,322,190,0,0,0,0,-35,-32,1
235,277,325,187,0,0,0,0,-32,-32,0
232,280,325,187,0,1,0,0,-32,-29,1
232,280,328,184,1,1,0,0,-29,-29,0
229,283,328,184,1,1,0,0,-29,-26,1
229,283,331,181,1,1,0,0,-26,-26,0
226,286,331,181,1,1,0,0,-26,-23,1
226,286,334,178,1,1,0,0,-23,-23,0
223,289,334,178,0,0,0,0,-102,54,1
223,289,337,175,0,0,0,0,-99,54,1
223,289,340,172,0,0,0,0,-96,54,1
223,289,343,169,0,0,0,0,-93,54,1
223,289,346,166,0,0,0,0,-90,54,1
223,289,349,163,0,0,0,0,-87,54,1
223,289,352,160,0,0,0,0,-84,54,1
223,289,355,157,0,0,0,0,-81,54,1
223,289,358,154,0,0,0,0,-78,54,1
223,289,361,151,0,0,0,0,-75,54,1
223,289,364,148,0,0,0,0,-72,54,1
223,289,367,145,0,0,0,0,-69,54,1
223,289,370,142,0,0,0,0,-66,54,1
223,289,373,139,0,0,0,0,-63,54,1
223,289,376,136,0,0,0,0,-60,54,1
223,289,379,133,0,0,0,0,-57,54,1
223,289,382,130,0,0,0,0,-54,54,2
